w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
50,4,2.06575e+00,2.57500e+00,6.29061e-03,3.41505e-03
51,4,2.08425e+00,2.57500e+00,6.15085e-03,3.43078e-03
52,4,2.10275e+00,2.57500e+00,6.01269e-03,3.44338e-03
53,4,2.12125e+00,2.57500e+00,5.87571e-03,3.45282e-03
54,4,2.13975e+00,2.57500e+00,5.73944e-03,3.45908e-03
55,4,2.15825e+00,2.57500e+00,5.60343e-03,3.46214e-03
56,4,2.17675e+00,2.57500e+00,5.46729e-03,3.46199e-03
57,4,2.19525e+00,2.57500e+00,5.33070e-03,3.45865e-03
58,4,2.21375e+00,2.57500e+00,5.19342e-03,3.45211e-03
59,4,2.23225e+00,2.57500e+00,5.05528e-03,3.44240e-03
60,4,2.25075e+00,2.57500e+00,4.91617e-03,3.42952e-03
61,4,2.26925e+00,2.57500e+00,4.77606e-03,3.41350e-03
62,4,2.28775e+00,2.57500e+00,4.63495e-03,3.39438e-03
63,4,2.30625e+00,2.57500e+00,4.49289e-03,3.37217e-03
64,4,2.32475e+00,2.57500e+00,4.34995e-03,3.34691e-03
65,4,2.34325e+00,2.57500e+00,4.20623e-03,3.31863e-03
66,4,2.36175e+00,2.57500e+00,4.06187e-03,3.28738e-03
67,4,2.38025e+00,2.57500e+00,3.91698e-03,3.25320e-03
68,4,2.39875e+00,2.57500e+00,3.77174e-03,3.21612e-03
69,4,2.41725e+00,2.57500e+00,3.62628e-03,3.17620e-03
70,4,2.43575e+00,2.57500e+00,3.48077e-03,3.13348e-03
71,4,2.45425e+00,2.57500e+00,3.33536e-03,3.08799e-03
72,4,2.47275e+00,2.57500e+00,3.19023e-03,3.03980e-03
73,4,2.49125e+00,2.57500e+00,3.04552e-03,2.98894e-03
74,4,2.50975e+00,2.57500e+00,2.90139e-03,2.93547e-03
75,4,2.52825e+00,2.57500e+00,2.75800e-03,2.87943e-03
76,4,2.54675e+00,2.57500e+00,2.61548e-03,2.82086e-03
77,4,2.56525e+00,2.57500e+00,2.47397e-03,2.75982e-03
78,4,2.58375e+00,2.57500e+00,2.33361e-03,2.69635e-03
79,4,2.60225e+00,2.57500e+00,2.19452e-03,2.63050e-03
80,4,2.62075e+00,2.57500e+00,2.05681e-03,2.56230e-03
81,4,2.63925e+00,2.57500e+00,1.92061e-03,2.49179e-03
82,4,2.65775e+00,2.57500e+00,1.78601e-03,2.41903e-03
